Day;FH;Diverses;Sola;B+;;;;;;;;;;;;;;;;;
1;10;;;;;;;;;;;;;;;;;;;;
2;10;;;;;;;;;;;;;;;;;;;;
3;10;;;;;;;;;;;;;;;;;;;;
4;10;;;;;;;;;;;;;;;;;;;;
5;10;;;;;;;;;;;;;;;;;;;;
6;10;;;;;;;;;;;;;;;;;;;;
7;10;;;;;;;;;;;;;;;;;;;;
8;10;;;;;;;;;;;;;;;;;;;;
9;10;;;;;;;;;;;;;;;;;;;;
10;10;;;;;;;;;;;;;;;;;;;;
11;10;;;;;;;;;;;;;;;;;;;;
12;10;;;;;;;;;;;;;;;;;;;;
13;10;;;;;;;;;;;;;;;;;;;;
14;10;;;;;;;;;;;;;;;;;;;;
15;;4;20;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;
24;;;;;;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;;;;;;
31;;;;;;;;;;;;;;;;;;;;;
32;;;;;;;;;;;;;;;;;;;;;
33;;;;;;;;;;;;;;;;;;;;;
34;;;;;;;;;;;;;;;;;;;;;
35;;;;;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;;;;;;;;;
37;;;;;;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;;;;;;;;;;
40;;;;;;;;;;;;;;;;;;;;;
41;;;;;;;;;;;;;;;;;;;;;
42;;;;;;;;;;;;;;;;;;;;;
43;;;;;;;;;;;;;;;;;;;;;
44;;;;;;;;;;;;;;;;;;;;;
45;;;;;;;;;;;;;;;;;;;;;
46;;;;;;;;;;;;;;;;;;;;;
47;;;;;;;;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;;;;;;;;
49;;;;;;;;;;;;;;;;;;;;;
50;;;;;;;;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;;;;;;;;
52;;;;;;;;;;;;;;;;;;;;;
53;;;;;;;;;;;;;;;;;;;;;
54;;;;;;;;;;;;;;;;;;;;;
55;;;;;;;;;;;;;;;;;;;;;
56;;;;;;;;;;;;;;;;;;;;;
57;;;;;;;;;;;;;;;;;;;;;
58;;;;;;;;;;;;;;;;;;;;;
59;;;;;;;;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;;;;;;;;
62;;;;;;;;;;;;;;;;;;;;;
63;;;;;;;;;;;;;;;;;;;;;
64;;;;;;;;;;;;;;;;;;;;;
65;;;;;;;;;;;;;;;;;;;;;
66;;;;;;;;;;;;;;;;;;;;;
67;;;;;;;;;;;;;;;;;;;;;
68;;;;;;;;;;;;;;;;;;;;;
69;;;;;;;;;;;;;;;;;;;;;
70;;;;;;;;;;;;;;;;;;;;;
71;;;;;;;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;;;;;;;;
73;;;;;;;;;;;;;;;;;;;;;
74;;;;;;;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;;;;;;;;
77;;;;;;;;;;;;;;;;;;;;;
78;;;;;;;;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;;;;;;;;
81;;;;;;;;;;;;;;;;;;;;;
82;;;;;;;;;;;;;;;;;;;;;
83;;;;;;;;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;;;;;;;;
85;;;;;;;;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;;;;;;;;
87;;;;;;;;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;;;;;;;;
89;;;;;;;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;;;;;;;
101;;;;;;;;;;;;;;;;;;;;;
102;;;;;;;;;;;;;;;;;;;;;
103;;;;;;;;;;;;;;;;;;;;;
104;;;;;;;;;;;;;;;;;;;;;
105;;;;;;;;;;;;;;;;;;;;;
106;;;;;;;;;;;;;;;;;;;;;
107;;;;;;;;;;;;;;;;;;;;;
108;;;;;;;;;;;;;;;;;;;;;
109;;;;;;;;;;;;;;;;;;;;;
110;;;;;;;;;;;;;;;;;;;;;
111;;;;;;;;;;;;;;;;;;;;;
112;;;;;;;;;;;;;;;;;;;;;
113;;;;;;;;;;;;;;;;;;;;;
114;;;;;;;;;;;;;;;;;;;;;
115;;;;;;;;;;;;;;;;;;;;;
116;;;;;;;;;;;;;;;;;;;;;
117;;;;;;;;;;;;;;;;;;;;;
118;;;;;;;;;;;;;;;;;;;;;
119;;;;;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;;;;;
121;;;;;;;;;;;;;;;;;;;;;
122;30;;;;;;;;;;;;;;;;;;;;
123;30;;;;;;;;;;;;;;;;;;;;
124;30;;;;;;;;;;;;;;;;;;;;
125;30;;;;;;;;;;;;;;;;;;;;
126;30;;;;;;;;;;;;;;;;;;;;
127;30;;;;;;;;;;;;;;;;;;;;
128;30;;;;;;;;;;;;;;;;;;;;
129;30;;;;;;;;;;;;;;;;;;;;
130;30;;;;;;;;;;;;;;;;;;;;
131;30;;;;;;;;;;;;;;;;;;;;
132;30;;;;;;;;;;;;;;;;;;;;
133;30;;;;;;;;;;;;;;;;;;;;
134;30;;;;;;;;;;;;;;;;;;;;
135;30;;;;;;;;;;;;;;;;;;;;
136;30;;;;;;;;;;;;;;;;;;;;
137;30;;;;;;;;;;;;;;;;;;;;
138;30;;;;;;;;;;;;;;;;;;;;
139;30;;;;;;;;;;;;;;;;;;;;
140;30;;;;;;;;;;;;;;;;;;;;
141;30;;;;;;;;;;;;;;;;;;;;
142;30;;;;;;;;;;;;;;;;;;;;
143;30;;;;;;;;;;;;;;;;;;;;
144;30;;;;;;;;;;;;;;;;;;;;
145;30;;;;;;;;;;;;;;;;;;;;
146;30;;;;;;;;;;;;;;;;;;;;
147;30;;;;;;;;;;;;;;;;;;;;
148;30;;;;;;;;;;;;;;;;;;;;
149;30;;;;;;;;;;;;;;;;;;;;
150;30;;;;;;;;;;;;;;;;;;;;
151;30;;;;;;;;;;;;;;;;;;;;
152;30;;;;;;;;;;;;;;;;;;;;
153;30;;;;;;;;;;;;;;;;;;;;
154;30;;;;;;;;;;;;;;;;;;;;
155;30;;60;;;;;;;;;;;;;;;;;;
156;30;;60;;;;;;;;;;;;;;;;;;
157;30;;60;;;;;;;;;;;;;;;;;;
158;30;;60;;;;;;;;;;;;;;;;;;
159;30;;60;;;;;;;;;;;;;;;;;;
160;30;;60;;;;;;;;;;;;;;;;;;
161;30;;60;;;;;;;;;;;;;;;;;;
162;30;;60;;;;;;;;;;;;;;;;;;
163;30;;60;;;;;;;;;;;;;;;;;;
164;30;;60;;;;;;;;;;;;;;;;;;
165;30;;;;;;;;;;;;;;;;;;;;
166;30;;;;;;;;;;;;;;;;;;;;
167;;;;;;;;;;;;;;;;;;;;;
168;;;;;;;;;;;;;;;;;;;;;
169;;;;;;;;;;;;;;;;;;;;;
170;;;;;;;;;;;;;;;;;;;;;
171;;;;;;;;;;;;;;;;;;;;;
172;;;;;;;;;;;;;;;;;;;;;
173;;;;;;;;;;;;;;;;;;;;;
174;;;;;;;;;;;;;;;;;;;;;
175;;;;;;;;;;;;;;;;;;;;;
176;;;;;;;;;;;;;;;;;;;;;
177;;;;;;;;;;;;;;;;;;;;;
178;;;;;;;;;;;;;;;;;;;;;
179;;;;;;;;;;;;;;;;;;;;;
180;;;;;;;;;;;;;;;;;;;;;
181;;;;;;;;;;;;;;;;;;;;;
182;;;;;;;;;;;;;;;;;;;;;
183;;;;;;;;;;;;;;;;;;;;;
184;;;;;;;;;;;;;;;;;;;;;
185;;;;;;;;;;;;;;;;;;;;;
186;;;;;;;;;;;;;;;;;;;;;
187;;;;;;;;;;;;;;;;;;;;;
188;;;;;;;;;;;;;;;;;;;;;
189;;;;;;;;;;;;;;;;;;;;;
190;;;;;;;;;;;;;;;;;;;;;
191;;;;;;;;;;;;;;;;;;;;;
192;;;;;;;;;;;;;;;;;;;;;
193;;;;;;;;;;;;;;;;;;;;;
194;;;;;;;;;;;;;;;;;;;;;
195;;;;;;;;;;;;;;;;;;;;;
196;;;;;;;;;;;;;;;;;;;;;
197;;;;;;;;;;;;;;;;;;;;;
198;;;;;;;;;;;;;;;;;;;;;
199;;;;;;;;;;;;;;;;;;;;;
200;;;;;;;;;;;;;;;;;;;;;
201;;;;;;;;;;;;;;;;;;;;;
202;;;;;;;;;;;;;;;;;;;;;
203;;;;;;;;;;;;;;;;;;;;;
204;;;;;;;;;;;;;;;;;;;;;
205;;;;;;;;;;;;;;;;;;;;;
206;;;;;;;;;;;;;;;;;;;;;
207;;;;;;;;;;;;;;;;;;;;;
208;;;;;;;;;;;;;;;;;;;;;
209;;;;;;;;;;;;;;;;;;;;;
210;;;;;;;;;;;;;;;;;;;;;
211;;;;;;;;;;;;;;;;;;;;;
212;;;;;;;;;;;;;;;;;;;;;
213;;;;;;;;;;;;;;;;;;;;;
214;;;;;;;;;;;;;;;;;;;;;
215;;;;;;;;;;;;;;;;;;;;;
216;;;;;;;;;;;;;;;;;;;;;
217;;;;;;;;;;;;;;;;;;;;;
218;;;;;;;;;;;;;;;;;;;;;
219;;;;;;;;;;;;;;;;;;;;;
220;;;;;;;;;;;;;;;;;;;;;
221;;;;;;;;;;;;;;;;;;;;;
222;;;;;;;;;;;;;;;;;;;;;
223;;;;;;;;;;;;;;;;;;;;;
224;;;;;;;;;;;;;;;;;;;;;
225;;;;;;;;;;;;;;;;;;;;;
226;;;;;;;;;;;;;;;;;;;;;
227;;;;;;;;;;;;;;;;;;;;;
228;;;;;;;;;;;;;;;;;;;;;
229;;;;;;;;;;;;;;;;;;;;;
230;;;;;;;;;;;;;;;;;;;;;
231;;;;;;;;;;;;;;;;;;;;;
232;;;;;;;;;;;;;;;;;;;;;
233;;;;;;;;;;;;;;;;;;;;;
234;;;;;;;;;;;;;;;;;;;;;
235;;;;;;;;;;;;;;;;;;;;;
236;;;;;;;;;;;;;;;;;;;;;
237;;;;;;;;;;;;;;;;;;;;;
238;;;;;;;;;;;;;;;;;;;;;
239;;;;;;;;;;;;;;;;;;;;;
240;;;;;;;;;;;;;;;;;;;;;
241;;;;;;;;;;;;;;;;;;;;;
242;;;;;;;;;;;;;;;;;;;;;
243;;;;;;;;;;;;;;;;;;;;;
244;;;;;;;;;;;;;;;;;;;;;
245;;;;;;;;;;;;;;;;;;;;;
246;;;;;;;;;;;;;;;;;;;;;
247;;;;;;;;;;;;;;;;;;;;;
248;;;;;;;;;;;;;;;;;;;;;
249;;;;;;;;;;;;;;;;;;;;;
250;;;;;;;;;;;;;;;;;;;;;
251;;;;;;;;;;;;;;;;;;;;;
252;;;;;;;;;;;;;;;;;;;;;
253;;;;;;;;;;;;;;;;;;;;;
254;;;;;;;;;;;;;;;;;;;;;
255;;;;;;;;;;;;;;;;;;;;;
256;;;;;;;;;;;;;;;;;;;;;
257;;;;;;;;;;;;;;;;;;;;;
258;;;;;;;;;;;;;;;;;;;;;
259;;;;;;;;;;;;;;;;;;;;;
260;;;;;;;;;;;;;;;;;;;;;
261;;;;;;;;;;;;;;;;;;;;;
262;;;;;;;;;;;;;;;;;;;;;
263;;;;;;;;;;;;;;;;;;;;;
264;;;;;;;;;;;;;;;;;;;;;
265;;;;;;;;;;;;;;;;;;;;;
266;;;;;;;;;;;;;;;;;;;;;
267;;;;;;;;;;;;;;;;;;;;;
268;;;;;;;;;;;;;;;;;;;;;
269;100;;;;;;;;;;;;;;;;;;;;
270;;;;;;;;;;;;;;;;;;;;;
271;;;;;;;;;;;;;;;;;;;;;
272;;;;;;;;;;;;;;;;;;;;;
273;;;;;;;;;;;;;;;;;;;;;
274;;;;;;;;;;;;;;;;;;;;;
275;;;;;;;;;;;;;;;;;;;;;
276;;;;;;;;;;;;;;;;;;;;;
277;;;;;;;;;;;;;;;;;;;;;
278;;;;;;;;;;;;;;;;;;;;;
279;;;;;;;;;;;;;;;;;;;;;
280;;;;;;;;;;;;;;;;;;;;;
281;;;;;;;;;;;;;;;;;;;;;
282;;;;;;;;;;;;;;;;;;;;;
283;;;;;;;;;;;;;;;;;;;;;
284;;;;;;;;;;;;;;;;;;;;;
285;;;;;;;;;;;;;;;;;;;;;
286;;;;;;;;;;;;;;;;;;;;;
287;;;;;;;;;;;;;;;;;;;;;
288;;;;;;;;;;;;;;;;;;;;;
289;;;;;;;;;;;;;;;;;;;;;
290;;;;;;;;;;;;;;;;;;;;;
291;;;;;;;;;;;;;;;;;;;;;
292;;;;;;;;;;;;;;;;;;;;;
293;;;50;;;;;;;;;;;;;;;;;;
294;;;;;;;;;;;;;;;;;;;;;
295;;;;;;;;;;;;;;;;;;;;;
296;;;;;;;;;;;;;;;;;;;;;
297;;;;;;;;;;;;;;;;;;;;;
298;;;;;;;;;;;;;;;;;;;;;
299;;;;;;;;;;;;;;;;;;;;;
300;;;;;;;;;;;;;;;;;;;;;
301;;;;;;;;;;;;;;;;;;;;;
302;;;;;;;;;;;;;;;;;;;;;
303;;;;;;;;;;;;;;;;;;;;;
304;;;;;;;;;;;;;;;;;;;;;
305;;;;;;;;;;;;;;;;;;;;;
306;;;;;;;;;;;;;;;;;;;;;
307;;;;;;;;;;;;;;;;;;;;;
308;;;;;;;;;;;;;;;;;;;;;
309;;;;;;;;;;;;;;;;;;;;;
310;;;;;;;;;;;;;;;;;;;;;
311;;;;;;;;;;;;;;;;;;;;;
312;;;;;;;;;;;;;;;;;;;;;
313;;;;;;;;;;;;;;;;;;;;;
314;;;;;;;;;;;;;;;;;;;;;
315;;;;;;;;;;;;;;;;;;;;;
316;;;;;;;;;;;;;;;;;;;;;
317;;;;;;;;;;;;;;;;;;;;;
318;;;;80;;;;;;;;;;;;;;;;;
319;;;;80;;;;;;;;;;;;;;;;;
320;;;;80;;;;;;;;;;;;;;;;;
321;;;;80;;;;;;;;;;;;;;;;;
322;;;;80;;;;;;;;;;;;;;;;;
323;;;;80;;;;;;;;;;;;;;;;;
324;;;;80;;;;;;;;;;;;;;;;;
325;;;;80;;;;;;;;;;;;;;;;;
326;;;;80;;;;;;;;;;;;;;;;;
327;;;;80;;;;;;;;;;;;;;;;;
328;;;;80;;;;;;;;;;;;;;;;;
329;;;;80;;;;;;;;;;;;;;;;;
330;;;;80;;;;;;;;;;;;;;;;;
331;;;;80;;;;;;;;;;;;;;;;;
332;;;;80;;;;;;;;;;;;;;;;;
333;;;;80;;;;;;;;;;;;;;;;;
334;;;;80;;;;;;;;;;;;;;;;;
335;;;;80;;;;;;;;;;;;;;;;;
336;;;;80;;;;;;;;;;;;;;;;;
337;;;;80;;;;;;;;;;;;;;;;;
338;;;;80;;;;;;;;;;;;;;;;;
339;;;;80;;;;;;;;;;;;;;;;;
340;;;;80;;;;;;;;;;;;;;;;;
341;;;;80;;;;;;;;;;;;;;;;;
342;;;;80;;;;;;;;;;;;;;;;;
343;;;;80;;;;;;;;;;;;;;;;;
344;;;;80;;;;;;;;;;;;;;;;;
345;;;;80;;;;;;;;;;;;;;;;;
346;;;;80;;;;;;;;;;;;;;;;;
347;;;;80;;;;;;;;;;;;;;;;;
348;;;;80;;;;;;;;;;;;;;;;;
349;;;;80;;;;;;;;;;;;;;;;;
350;;;;80;;;;;;;;;;;;;;;;;
351;;;;80;;;;;;;;;;;;;;;;;
352;;;;80;;;;;;;;;;;;;;;;;
353;;;;80;;;;;;;;;;;;;;;;;
354;;;;80;;;;;;;;;;;;;;;;;
355;;;;80;;;;;;;;;;;;;;;;;
356;;;;80;;;;;;;;;;;;;;;;;
357;;;;80;;;;;;;;;;;;;;;;;
358;;;;80;;;;;;;;;;;;;;;;;
359;;;;80;;;;;;;;;;;;;;;;;
360;;;;80;;;;;;;;;;;;;;;;;
361;;;;80;;;;;;;;;;;;;;;;;
362;;;;;;;;;;;;;;;;;;;;;
363;;;;;;;;;;;;;;;;;;;;;
364;;;;;;;;;;;;;;;;;;;;;
365;;;;;;;;;;;;;;;;;;;;;
